empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
Empty,Expert,Affiliation,Study (internal field),McK reference (internal field),Joined Ideation? (Y/N),Designation,Background/Comments,Primary account tag,Primary vertical tag,Expert image
,Bob Kinney,External,Wipro,Purushotam Jawahrani,Y,"Ex-VP/GM, ABB",Leveraged for ABB,ABB,Manufacturing,profile-01.png
,Brian Hall,External,Wipro,Purushotam Jawahrani,Y,"VP, Product marketing, AWS; 
Ex-Corp VP, Microsoft Devices",Leveraged for Microsoft,Microsoft,TMT,profile-02.png
,Christian Miccoli,SA,LTI - Aspire ++,Abhay Mital,N,"Senior Advisor, McKinsey",Senior Advisor at McKinsey Specializing in Digital in Retail Banking,Nordea,Banking,
,Helmut Schuett,External,Birlasoft; Infosys,Amrita Singh,Y,"Former Global CIO for Daimler Trucks, Vans & Buses for 3 years","Prior to that, he was the CIO for the passenger vehiucles division for 6 years,
Left Daimler in 2017",Daimler,Manufacturing,
,Deryl Sturdevant,SA,Infosys,,Y,"Former CEO Toyota Canda; Senior Advisor, McKinsey",,Toyota,Manufacturing,
,George Borst,External,Infosys,,Y,Former CEO Toyota Financial Services,,Toyota,Manufacturing,
,John Hayes,SA,Infosys,,Y,"Senior Advisor, McKinsey, former Chief marketing officer, AMEX",largely dealt with global advertising and brand management.  He left Amex 2 years back and has now become a senior external advisor with McKinsey,American Express,Banking,
,Jay Lee,SA,,,,"United Technologies Research Center – Director for Product Development and Marketing; 
National Science Foundation – Program Director",, ,Cross-industry,
,Jeffrey Hutchinson,External,Wipro,Purushotam Jawahrani,Y,"Ex-interim CIO/VP-Global Enterprise services, Honeywell",Leveraged for Honeywell,Honeywell,Manufacturing,
,Julie Bashkin,SA,Infosys,,N,"Senior Advisor, McKinsey","McKinsey alum and expert on CPG Direct To Consumer strategies, Cofounder of a D2C subscription startup",P&G,CPG,
,Rahul Shah,Internal,LTI - Aspire ++; Infosys,Abhay Mital,Y,"Associate Partner, London, McKinsey","Deep expertise in Digital, Architecture and Agile and DevOps transformations.
Currently leading multiple IT transformations at UK banks",RBS,Banking,
,Roger Roberts,Internal,LTI - Aspire ++; Infosys,Abhay Mital,Y,"Partner, Silicon Valley, McKinsey",25 years focusing in Consumer & Packages Goods & Retail Practice,Coca-Cola,CPG,
,Vishal Dalal,Internal,LTI - Aspire ++; Infosys,Abhay Mital,N,"Partner, New York, McKinsey",Leader in Digital McKinsey for Americas – serves top Financial services clients and ex-Head of Core Banking at Barclays,Citigroup,Banking,
,Leila Nicholas,External,LTI - Aspire ++,Abhay Mital,N,"Former Global Head of Digital Programme Delivery, HSBC",,HSBC,Banking,
,Norbert Lurz,SA,,Saurabh Batra,,"Senior Advisor, McKinsey",,P&G,Consumer,
