empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,Sr. no,Account,Vertical,Source (internal field) ,Ideation date,Context field (BU/ Vertical/ Others),Theme,Description/ Rationale,TCV range (USD Mn),TCV est (USD Mn),Stakeholders,Decision maker,Potential competitors,Comments
,1,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,SAP migration ,Migration from JDE to SAP in Medical Devices by FY22-23 (Pharma is already mature in this space),15-20,15,Larry Jones (Med devices) - VP & Group CIO for BU,Steve Wrenn - Group CIO. Global Supply-Chain at Johnson & Johnson,"IBM, Wipro, A TCS",
,2,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,ERP platform transformation ,"Transforming ERP systems for acquired entities for Pharma by FY22-23 - multiple smaller companies acquired have Oracle, Microsoft Solutions & homegrown ERP systems",15-20,15,Jeff Steinhorn (Pharma) - VP and Group CIO for BU,Steve Wrenn - Group CIO. Global Supply-Chain at Johnson & Johnson,"IBM, Wipro, TCS",
,3,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Business Intelligence ,Developing algorithm backed Bl tools to bolster cross-selling in medical devices in US - to be supplemented by data consolidation and integration,15-Oct,10,"Jeff Srour - VP, D&A Enterprise Product Lines",Larry Jones (Med devices) - VP & Group CIO for BU,KPMG,
,4,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Business Intelligence ,Building customer proximity through front end apps especially in the US & China market in health & wellness,15-Oct,10,"Jeff Srour - VP, D&A Enterprise Product Lines","Mike Reilly - Global Head, Digital Products Jeff Steinhom (Pharma) - VP Group CIO for BU",Multiple small T2/3 players,
,5,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Business Intelligence,Advanced analytics and Bl for predictive equipment maintenance (especially in orthopedics) to increase device longevity,6-Mar,3,"Jeff Srour - VP, D&A Enterprise Product Lines",Larry Jones (Med devices) - VP & Group CIO for BU,Multiple A small T2/3 players,
,6,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Remote patient monitoring,Enabling medical device connectivity via IoT integrations to facilitate remote patient monitoring for orthopedics ,3-Feb,2,NA,Larry Jones (Med RFP devices) - VP & Group CIO for BU,Multiple small T2/3 players,
,7,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Advanced data analytics,Using D&A to project long term effects of drug usage as trials generally reveal a short-term view only,3-Feb,2,"Jeff Srour - VP, D&A Enterprise Product Lines",Jeff Steinhorn RFP (Pharma) - VP and Group CIO for BU,"KPMG, Deloitte",
,8,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Virtual simulations,Develop PaaS applications for R&D in Pharma to weed out bad drug molecules through virtual simulation,5-Feb,2,"Rick Franckowiak - Sr. Director, Pharma R&D Digital Innovation",Jeff Steinhorn (Pharma) - VP and Group CIO for BU,Multiple small T2/3 players,
,9,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Blockchain enabled data security,"Enable secure data transfer within J&J and its acquired firms / third parties; specifically for controlled substances, i.e. narcotics, biological pharmaceutical products, etc",5-Mar,3,"Marene Allisson – Global VP, Information Security",Stephen Sorensen - VP Application Services,"EY, PwC",
,10,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Regulatory compliance,"Standardized CSV (Computer System Validation) services to ensure compliance norms, i.e. FDA Regulations, GDPR, etc. are met (China is expected to witness regulatory changes)",20-25,20,"Hugh Sheridan VP of IT Finance, Procurement, Health Care Compliance and Legal","Marene Allisson – Global VP, Information Security","EY, Deloitte",
,11,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Migration to  SFDC,Migration from SEIBEL to SFDC for Medical devices BU,3-Feb,2,Larry Jones (Med devices) - VP & Group CIO for BU,Rowena Yeo - Global CTO Johnson & Johnson,Accenture,
,12,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,UI/UX,Re-vamp UI/UX for ConCur to encourage employee usage,0.5-1,0.5,"Mike Reilly – Global Head, Supply Chain Customer Connectivity & Digital Products","Carlton DeBrule – VP, App Development Engineering Services & IT Application Services",IBM,
,13,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,WorkDay  standardization,Introduce WorkDay platform across acquired entities to remove complexity; CurrentlyWorkday is highly customer for J&J leveraged only for HR functions,3-Feb,2,Peter Fasolo - Chief Human Resources Officer,Jane Connell - VP and CIO for Corporate,"IBM, Deloitte",
,14,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Order generation & tracking,ERP-integrated applications (currently using EDI system) that facilitate order generation & neartime tracking of machine parts (especially orthopedics),3-Feb,2,Larry Jones (Med devices) - VP & Group CIO for BU,"Mark Devine – Sr. Director, Global Development Center","IBM, Wipro, TCS",
,15,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Order  fulfilment,"IT development, support & maintenance for E2E order fulfillment centered around inventory management to minimize manual interventions for medical devices",5-Mar,3,Larry Jones (Med devices) - VP & Group CIO for BU,"Steve Wrenn – Group CIO, Global Supply Chain at Johnson & Johnson","IBM, Wipro, TCS",
,16,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Standardized  testing,Developing SQA tools to standardize the testing process in the pharma vertical,5-Apr,4,"Ali Faruqi, Global Head - Software Quality Assurance (SQA)","Carlton DeBrule – VP, App Development Engineering Services & IT Application Services","Galaxy Consulting, Wipro",
,17,Johnson and Johnson,Healthcare,Birlasoft,1/25/2019,,Consulting & training  services,Consulting & training of employees to effectively merge acquired entities,4-Mar,3,"Ali Faruqi, Global Head - Software Quality Assurance (SQA)","Carlton DeBrule – VP, App Development Engineering Services & IT Application Services","Galaxy Consulting, Centerline Partners",
,18,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Data & Analytics,"Cross cutting fraud analytics for P&C customers authentication via external sources of info (e.g., customer profile, spend data, etc.) – currently the process is predominantly manual",3-Feb,2,Victor Tung; Tony Cyriac,Larry Resnick; Aman Raheja,IBM; Deloitte; Smaller vendors/ fin-techs,
,19,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Data & Analytics,Digitization of KYC – Algorithm to automate KYC vetting for retail banking customers,3-Feb,2,Tony Cyriac,Victor Tung,Multiple smaller vendors,
,20,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Data & Analytics,Enterprise data warehouse – migration into a Hadoop architecture,3-Feb,2,Tony Cyriac,Lawrence Wan,,
,21,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Customer experiencefront end,Omni-channel UI/UX design for the (a) credit cards segment (b) retail deposits with uniform cross border features (starting with either US/Canada Retail and later scaling up to both geographies),3-Feb,2,Scott Collary; Deepa Soni; Doug Wilson,Anuj Dhall,"CGI, TCS, Wipro",
,22,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Customer experiencefront end,Hosting and maintenance of US P&C website (multiple recent website outages suggest dis satisfaction with CGI’s performance),2-Jan,1,Scott Collary; Deepa Soni,Anuj Dhall,"TCS, Wipro",
,23,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Customer experiencefront end,Improvement and upgradation of US-Commercial and US-Retail web applications to facilitate consistent/uniform cross border functionality,2-Jan,1,Deepa Soni; Doug Wilson,Scott Collary; Lawrence Wan,"CGI, TCS, Wipro, Infosys",
,24,Bank of Montreal,Banking,Birlasoft,2/4/2019,,CRM/ERP,Migration from Siebel towards customized cloudbased CRM solution (starting with US Wealth/Retail),2-Jan,1,Victor Tung; Deepa Soni,Anuj Dhall; Lawrence Wan,TCS,
,25,Bank of Montreal,Banking,Birlasoft,2/4/2019,,CRM/ERP,Development/maintenance of front-end user friendly interface for the HR dept. employees (Currently using Peoplesoft HRMS),5-Mar,3,Lawrence Wan,Victor Tung; Paul Dzwoovck,TCS,
,26,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Automated testing,Automated testing on the US P&C website to bolster overall testing resilience & hence reduction in outages/failures,1 – 1.5,1,Luke Seabrook,Deepa Soni; Scott Collary,"TCS, Wipro, Infosys & other niche players",
,27,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Automated testing,Automated testing activities for the card segment (website/apps) for overall better customer experience,0.5 – 1.5,0.5,Larry Resnick,Scott Collary,"TCS, Wipro, Infosys, CGI",
,28,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Digitisation,Bots/ RPA for automated customer onboarding journeys – start with US Commercial/Wealth unit,4-Feb,2,Tony Cyriac; Deepa Soni; Luke Seabrook,Scott Collary,"Deloitte, IBM, TCS",
,29,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Digitisation,Digitize the identity access management process – a key priority for BMO’s risk management unit,4-Feb,2,Santosh Bopardikar,Aman Raheja; Larry Resnick,"Deloitte, IBM, TCS",
,30,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Digitisation (Cont’d),Digitize payments approval mechanism process (currently predominantly manual)- opportunity to start with US Retail unit,4-Feb,2,Luke Seabrook; Deepa Soni,Anuj Dhall,"Deloitte, IBM, TCS, Wipro",
,31,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Digitisation (Cont’d),Automation of account reconciliation processes for the US P&C unit,3-Feb,2,Ken Librot,Victor Tung,"Deloitte, IBM, TCS, Wipro",
,32,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Security,Building multi-factor authentication for retail P&C customers to facilitate identity and access management (To start out with US P&C/ Canada P&C unit),5-Mar,3,Lawrence Wan; Deepa Soni; Doug Wilson,Scott Collary,"IBM, Infosys",
,33,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Security,Clean up & consolidation of customer data to create a single ADDS (Active directory domain service),2-Jan,1,Aman Raheja,Steve Tennyson; Lawrence Wan; Claudette McGallan,"IBM, Deloitte",
,34,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Others,"Application development support on LOS plaform – NetOxygen, for commercial lending applications",0.5 – 1,0.5,Deepa Soni,Lawrence Wan,,
,35,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Cyber security,"Archer modernization activities- subcontractors to specific activities across application development and design, server patching, building data queries and checks/balances",15-Oct,10,Steve Tennyson,Victor Tung,"TCS, Wipro, Infosys & other niche players",
,36,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Cloud  applications,Moving Email application to public/ private cloud using PaaS models (Parts of the business already operating on Office 365),~10,10,Victor Tung,Lawrence Wan,"TCS, Wipro, Infosys & other niche players",
,37,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Master Data  Management,"Metadata management across platforms, across individual business units – US Retail, Canada Retail, Wealth etc.",10-May,5,Victor Tung,Tony Cyriac,"TCS, Wipro, Infosys & other niche players",
,38,Bank of Montreal,Banking,Birlasoft,2/4/2019,,Master Data  Management,Building governance structures for metadata management,10-May,5,Victor Tung,Tony Cyriac,"TCS, Wipro, Infosys & other niche players",
,39,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,Advanced Visualisation,"Creation of a visualisation cockpit – “single pane of glass” UI display for P&C underwriters and front-end employees, custom made to individual requirements, with internal and external datasets collected, including GIS footprints (Google Maps based)",3-Feb,2,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,40,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,Microservices/ API (on RATOS),"Re-architect existing RATOS (Rating engine) platform in P&C, and similar platform in other BUs – into microservices architecture; with inbuilt APIs (Opportunity for Swiss Re to build “API Economy”, monetize individual APIs as part of their rating platform)",8-10 (over 3 years),8,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,41,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,Digital workbench (AppWay upgradation),"Upgradation of functionalities in the AppWay Digital Workbench – to cater to customized workbench needs of underwriting workers, front-end processing staff etc. (Similar migration already done in other BUs such as CorSo migrating from AWD to their own “Underwriting Workbench” solution for certain individuals)",5-Mar,3,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,42,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,SICS migration to next-gen platform,Application platform migration away from SicsNT application into more proactive alternatives (for underwriting applications) (Application currently run by DXC – vendor relationship with DXC is weak; Other players like MunichRe also went through a SicsNT migration),5-Mar,3,,Marco Jaeggi,,
,43,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,Process automation,"Enable process automation systems, specifically on triaging of data focus on reducing turnaround time, increasing net per-underwriter premium yield – applications of process automation in underwriting to be cross cutting across lines of business)",3-Feb,2,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,44,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,Cloud journey,"Cloud migration of legacy applications (300+ applications) into the Azure platform (Part of Vision 2020 to have 60% of the 300+ applications on the Cloud, including some core and all peripheral applications – efforts already underway; Core P&C vendors are already involved – including TCS and CTCO)",10+ (over 3 years),10,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,45,Swiss Re,Insurance,Birlasoft,3/8/2019,P&C,GFS/ IUF upgradation,"On GFS / IUF facultative underwriting systems – upgradation of applications to enable evolving underwriting functionality, increased usability, integrated back process management (10+ year old system, need for upgradation / development every 2 years)",3-Feb,2,,"Rene Turra, Marco Payer; Marco Jaeggi",,
,46,Swiss Re,Insurance,Birlasoft,3/8/2019,L&H,Advanced Visualisation,"Creation of a visualization cockpit – combining traditional data used by L&H underwriters, population demographics data, life tables and data from actuaries",3-Feb,2,,Markus Krauchi,,
,47,Swiss Re,Insurance,Birlasoft,3/8/2019,L&H,Specialized analytics,"Leverage NLP and advanced analytics tools to enable automatic extraction and interpretation of data from large contracts - medical literature, 500p+ documents on medical/ life records (including hand written notes from doctors)",4-Mar,3,Rainer Baumann,Markus Krauchi,,
,48,Swiss Re,Insurance,Birlasoft,3/8/2019,L&H,Micro services/ API,"Moving decoupled applications from the BOF (Business of the Future) platform into a microservices architecture, and building white labelled APIs for the respective applications – specifically focused on US region",5-7 (over 3Y),5,,Markus Krauchi,,
,49,Swiss Re,Insurance,Birlasoft,3/8/2019,L&H,Cloud migration,Cloud migration of legacy applications into the Azure platform (Part of Vision 2020 to have 60% of L&H applications on the Cloud; Currently vendors such as TCS are working on large contracts),5-7 (over 3Y),5,,Markus Krauchi,,
,50,Swiss Re,Insurance,Birlasoft,3/8/2019,CEDD,Process automation,"Enable process automation on backend operations processes (at L1 and L2 level), e.g., for IT support infrastructure – supported by AI/ ML, pattern recognition solutions etc.",3-Feb,2,,Stefan Seiger; Felix Craft,,
,51,Swiss Re,Insurance,Birlasoft,3/8/2019,GDIS,Analytics in 2-3 ~1 pricing optimization,"Identify data analytics use cases, leverage AI/ML capabilities in optimizing pricing decisions within P&C (key priority given high combined ratio of P&C, due to losses/ unforseen events)",3-Feb,2,"Rene Turra, Marco Payer",Rainer Baumann,,
,52,Swiss Re,Insurance,Birlasoft,3/8/2019,GDIS,Data interpretation on connected devices data,Run a digitized data integration program for various patient monitoring systems used in elderly care centers – as additional real-time data inputs to enable effective underwriting towards L&H,2-Jan,1,Markus Krauchi,Rainer Baumann,,
,53,Swiss Re,Insurance,Birlasoft,3/8/2019,GDIS,Data interpretation on connected devices data,Data analytics on connected data from telematics devices used in automotive for better underwriting of motor insurance (Herbie project),2-Jan,1,"Rene Turra, Marco Payer",Rainer Baumann,,
,54,Swiss Re,Insurance,Birlasoft,3/8/2019,GDIS,Advanced analytics on social media,Data mining and building advanced analytics solutions from various social media datasets; Opportunity to build prototype on driving,3-Feb,2,"Rene Turra, Marco Payer, Markus Krauchi",Rainer Baumann,,
,55,Swiss Re,Insurance,Birlasoft,3/8/2019,iptiQ,Cloud enablement,"Enable building core data lake environment and peripheral environments on Azure – in both iptiQ US and iptiQ EMEA; (Will need to displace TCS and Cognizant, where existing vendor relations with iptiQ are not very strong)",5-Apr,4,,US - Vineet Bansal; Philip Walker; RoW – Praveena Wadhwa,,
,56,Swiss Re,Insurance,Birlasoft,3/8/2019,iptiQ,Platform modernization – emerging markets,"Platform modernization of iptiQ platforms currently used in key emerging markets – including the BR-SEC platform for LATAM (Brazil); and the Manhattan-APAC platform for Asia (China) (TCS was involved earlier, but vendor relationship with TCS is not strong here)",2-Jan,1,,Praveena Wadhwa/ Vineet Bansal,,
,57,Swiss Re,Insurance,Birlasoft,3/8/2019,iptiQ,Front end CEX,"White-labelled front-end customer experience platform for distribution partners across geographies (with a dynamic front-end, open architecture methodology)",2-Jan,1,,US - Vineet Bansal; Philip Walker; RoW – Praveena Wadhwa,,
,58,Swiss Re,Insurance,Birlasoft,3/8/2019,Corporate solutions,Manhattan – Platform Migration/ upgradation,"Enabling migration/ upgradation journey of “Manhattan” systems used in CorSO, towards more new-age systems enabling seamless, real time cross-border connectivity; Opportunity to revamp the client/distribution partner query management system currently a part of Manhattan",4-Mar,3,,Samrat Dua,,
,59,Swiss Re,Insurance,Birlasoft,3/8/2019,Corporate solutions,Disintermediat ion/ CEX,Creation of a white-labelled front end customer experience trading platform – to be sold by Swiss Re to distribution partners across geographies,3-Feb,2,,Samrat Dua,,
,60,Swiss Re,Insurance,Birlasoft,3/8/2019,Corporate solutions,CorFlow Claims Digital Workbench,"Upgradation of CorFlow Claims Digital Workbench with plug-ins leveraging AI/ ML bases and further automate journeys (CorFlow is a customized replacement of AWD, formally used in CorSo)",3-Feb,2,,Samrat Dua,,
,61,Swiss Re,Insurance,Birlasoft,3/8/2019,Corporate solutions,JASET tool - replatforming,Opportunity to replatform/ re-build JASET (John Anderson Set of Excel Tools) – used by CorSo underwriters – towards an advanced application (AWS complaint),~1,1,,Samrat Dua,,
,62,Swiss Re,Insurance,Birlasoft,3/8/2019,ReAssure,Internal IT/ backend operations,"Set up of backend IT4IT systems, finance IT systems and ERP migration for ReAssure with rest of SwissRe (Plan to spin off ReAssure into a separate legal and operational entity in the next 1-2 years; Need for proactive conversation)",10+ (over 3-4 years),10,,Richard Domico,,
,63,Swiss Re,Insurance,Birlasoft,3/8/2019,ReAssure,Alpha platform,Replatforming and re-writing as part of journey towards cloud migration for the Alpha closed book platform used in ReAssure (TCS was in talks with ReAssure but no vendors are likely to be involved currently),4-Mar,3,,Richard Domico,,
,64,Swiss Re,Insurance,Birlasoft,3/8/2019,Others,Blockchain for insurance objects,Leverage distributed ledger technology to help address challenge of multiple underwriting of the same insurance objects (eg: Swiss Re CorSo underwriting the same object already insured by Swiss Re on the reinsurance side) – Opportunity to run multiple POCs and investments to build use case stories,NA,0,,All BU owners,,
,65,Conduent,TMT,Birlasoft,2/5/2019,Tolling,Parking validations through RPA,Automation using bots for parking validation and real-time tracking to increase compliance and reduce headcount,4-Mar,3,"Mark Shannon, VP, IT","Roger Dashevsky, VP & GM Technology","Deloitte, Infinite",
,66,Conduent,TMT,Birlasoft,2/5/2019,Digital Processing,Advanced workflow solutions,"Developing workflow solutions to migrate 5-10 key customers to advanced platforms in imaging, scanning, indexing; Shawn's roadmap is to upgrade 50 / 250 customer accounts",5-Mar,3,"Mark Shannon, VP, IT","Shawn Permann, VP and GM Technology",T2/3 vendors,
,67,Conduent,TMT,Birlasoft,2/5/2019,Digital Processing,Enterprise and system integration,Enterprise & system integration of Sefas and Solimar systems with CPMT (Conduent Print Mail Technology) platform to shift from paper to digital,2-Jan,1,"Mark Shannon, VP, IT","Shawn Permann, VP and GM Technology'","Sefas, Solimar",
,68,Conduent,TMT,Birlasoft,2/5/2019,Digital Processing,Robotic process automation,RPA in selected sectors through innovation led solution offerings; Provider can target few customers in the 250 customer portfolio under Shawn,3-Feb,2,"David Klavon, TGM, Digital Processing Software","Shawn Permann, VP and GM Technology",T2/3 vendors with domain expertise,
,69,Conduent,TMT,Birlasoft,2/5/2019,Commercial Healthcare,Healthcare Analytics & Predictive Modelling,Predictive modelling and analytics on data from 4k+ hospitals to minimize readmission of patients and 14+ pharma companies to reduce wastage of drugs,5-Apr,4,"Giri Varadan, Director, Healthcare Provider IT","Kalyan Peri, VP, Technology Services","Infosys, HCL",
